Start,End,Path
"(111, 94)","(111, 82)","[(111.0, 94.0), (111.0, 93.0), (111.0, 92.0), (111.0, 91.0), (111.0, 90.0), (111.0, 89.0), (111.0, 88.0), (111.0, 87.0), (111.0, 86.0), (111.0, 85.0), (111.0, 84.0), (110.0, 84.0), (110.0, 83.0), (110.0, 82.0), (111.0, 82.0)]"
"(103, 132)","(103, 64)","[(103.0, 132.0), (103.0, 131.0), (103.0, 130.0), (103.0, 129.0), (103.0, 128.0), (103.0, 127.0), (103.0, 126.0), (103.0, 125.0), (103.0, 124.0), (103.0, 123.0), (103.0, 122.0), (103.0, 121.0), (103.0, 120.0), (103.0, 119.0), (103.0, 118.0), (104.0, 118.0), (104.0, 117.0), (104.0, 116.0), (104.0, 115.0), (104.0, 114.0), (104.0, 113.0), (104.0, 112.0), (104.0, 111.0), (104.0, 110.0), (104.0, 109.0), (104.0, 108.0), (104.0, 107.0), (104.0, 106.0), (104.0, 105.0), (104.0, 104.0), (104.0, 103.0), (104.0, 102.0), (104.0, 101.0), (104.0, 100.0), (104.0, 99.0), (104.0, 98.0), (104.0, 97.0), (104.0, 96.0), (104.0, 95.0), (104.0, 94.0), (104.0, 93.0), (104.0, 92.0), (104.0, 91.0), (104.0, 90.0), (104.0, 89.0), (104.0, 88.0), (103.0, 88.0), (102.0, 88.0), (102.0, 87.0), (102.0, 86.0), (102.0, 85.0), (102.0, 84.0), (102.0, 83.0), (102.0, 82.0), (102.0, 81.0), (102.0, 80.0), (102.0, 79.0), (102.0, 78.0), (102.0, 77.0), (102.0, 76.0), (102.0, 75.0), (102.0, 74.0), (102.0, 73.0), (102.0, 72.0), (102.0, 71.0), (102.0, 70.0), (102.0, 69.0), (102.0, 68.0), (102.0, 67.0), (102.0, 66.0), (102.0, 65.0), (102.0, 64.0), (103.0, 64.0)]"
"(103, 64)","(133, 132)","[(103.0, 64.0), (103.0, 65.0), (103.0, 66.0), (103.0, 67.0), (103.0, 68.0), (103.0, 69.0), (103.0, 70.0), (103.0, 71.0), (103.0, 72.0), (103.0, 73.0), (103.0, 74.0), (103.0, 75.0), (103.0, 76.0), (103.0, 77.0), (103.0, 78.0), (103.0, 79.0), (103.0, 80.0), (103.0, 81.0), (103.0, 82.0), (103.0, 83.0), (103.0, 84.0), (103.0, 85.0), (104.0, 85.0), (105.0, 85.0), (106.0, 85.0), (107.0, 85.0), (108.0, 85.0), (108.0, 86.0), (108.0, 87.0), (108.0, 88.0), (108.0, 89.0), (108.0, 90.0), (108.0, 91.0), (108.0, 92.0), (108.0, 93.0), (108.0, 94.0), (108.0, 95.0), (108.0, 96.0), (108.0, 97.0), (108.0, 98.0), (108.0, 99.0), (108.0, 100.0), (108.0, 101.0), (108.0, 102.0), (108.0, 103.0), (108.0, 104.0), (108.0, 105.0), (108.0, 106.0), (108.0, 107.0), (108.0, 108.0), (108.0, 109.0), (108.0, 110.0), (108.0, 111.0), (108.0, 112.0), (108.0, 113.0), (108.0, 114.0), (108.0, 115.0), (108.0, 116.0), (108.0, 117.0), (108.0, 118.0), (108.0, 119.0), (108.0, 120.0), (108.0, 121.0), (108.0, 122.0), (108.0, 123.0), (108.0, 124.0), (108.0, 125.0), (108.0, 126.0), (108.0, 127.0), (108.0, 128.0), (108.0, 129.0), (108.0, 130.0), (108.0, 131.0), (109.0, 131.0), (110.0, 131.0), (111.0, 131.0), (112.0, 131.0), (113.0, 131.0), (114.0, 131.0), (115.0, 131.0), (116.0, 131.0), (117.0, 131.0), (118.0, 131.0), (119.0, 131.0), (120.0, 131.0), (121.0, 131.0), (122.0, 131.0), (123.0, 131.0), (124.0, 131.0), (125.0, 131.0), (126.0, 131.0), (127.0, 131.0), (128.0, 131.0), (129.0, 131.0), (130.0, 131.0), (130.0, 132.0), (131.0, 132.0), (132.0, 132.0), (133.0, 132.0)]"
"(133, 132)","(87, 60)","[(133.0, 132.0), (133.0, 131.0), (133.0, 130.0), (133.0, 129.0), (133.0, 128.0), (133.0, 127.0), (133.0, 126.0), (133.0, 125.0), (133.0, 124.0), (133.0, 123.0), (133.0, 122.0), (133.0, 121.0), (133.0, 120.0), (133.0, 119.0), (133.0, 118.0), (133.0, 117.0), (133.0, 116.0), (133.0, 115.0), (133.0, 114.0), (133.0, 113.0), (133.0, 112.0), (133.0, 111.0), (133.0, 110.0), (133.0, 109.0), (133.0, 108.0), (133.0, 107.0), (133.0, 106.0), (133.0, 105.0), (133.0, 104.0), (133.0, 103.0), (133.0, 102.0), (133.0, 101.0), (133.0, 100.0), (133.0, 99.0), (133.0, 98.0), (133.0, 97.0), (133.0, 96.0), (133.0, 95.0), (133.0, 94.0), (133.0, 93.0), (133.0, 92.0), (133.0, 91.0), (133.0, 90.0), (133.0, 89.0), (133.0, 88.0), (133.0, 87.0), (132.0, 87.0), (131.0, 87.0), (131.0, 86.0), (131.0, 85.0), (131.0, 84.0), (131.0, 83.0), (131.0, 82.0), (131.0, 81.0), (131.0, 80.0), (131.0, 79.0), (131.0, 78.0), (131.0, 77.0), (131.0, 76.0), (131.0, 75.0), (131.0, 74.0), (131.0, 73.0), (131.0, 72.0), (131.0, 71.0), (131.0, 70.0), (131.0, 69.0), (131.0, 68.0), (131.0, 67.0), (131.0, 66.0), (131.0, 65.0), (131.0, 64.0), (130.0, 64.0), (129.0, 64.0), (128.0, 64.0), (127.0, 64.0), (126.0, 64.0), (125.0, 64.0), (124.0, 64.0), (123.0, 64.0), (122.0, 64.0), (121.0, 64.0), (120.0, 64.0), (119.0, 64.0), (118.0, 64.0), (117.0, 64.0), (116.0, 64.0), (115.0, 64.0), (114.0, 64.0), (113.0, 64.0), (112.0, 64.0), (111.0, 64.0), (110.0, 64.0), (109.0, 64.0), (108.0, 64.0), (107.0, 64.0), (106.0, 64.0), (105.0, 64.0), (105.0, 63.0), (104.0, 63.0), (103.0, 63.0), (102.0, 63.0), (101.0, 63.0), (100.0, 63.0), (99.0, 63.0), (98.0, 63.0), (97.0, 63.0), (96.0, 63.0), (95.0, 63.0), (94.0, 63.0), (93.0, 63.0), (92.0, 63.0), (91.0, 63.0), (91.0, 62.0), (90.0, 62.0), (90.0, 61.0), (89.0, 61.0), (88.0, 61.0), (87.0, 61.0), (87.0, 60.0)]"
"(87, 60)","(131, 62)","[(87.0, 60.0), (88.0, 60.0), (89.0, 60.0), (90.0, 60.0), (91.0, 60.0), (92.0, 60.0), (93.0, 60.0), (93.0, 61.0), (94.0, 61.0), (95.0, 61.0), (96.0, 61.0), (97.0, 61.0), (98.0, 61.0), (99.0, 61.0), (100.0, 61.0), (101.0, 61.0), (102.0, 61.0), (103.0, 61.0), (104.0, 61.0), (105.0, 61.0), (106.0, 61.0), (106.0, 62.0), (107.0, 62.0), (108.0, 62.0), (109.0, 62.0), (110.0, 62.0), (111.0, 62.0), (112.0, 62.0), (113.0, 62.0), (114.0, 62.0), (115.0, 62.0), (116.0, 62.0), (117.0, 62.0), (118.0, 62.0), (119.0, 62.0), (120.0, 62.0), (121.0, 62.0), (122.0, 62.0), (123.0, 62.0), (124.0, 62.0), (125.0, 62.0), (126.0, 62.0), (127.0, 62.0), (128.0, 62.0), (129.0, 62.0), (130.0, 62.0), (131.0, 62.0)]"
"(131, 62)","(135, 118)","[(131.0, 62.0), (132.0, 62.0), (133.0, 62.0), (134.0, 62.0), (134.0, 63.0), (134.0, 64.0), (134.0, 65.0), (134.0, 66.0), (134.0, 67.0), (134.0, 68.0), (134.0, 69.0), (134.0, 70.0), (134.0, 71.0), (134.0, 72.0), (134.0, 73.0), (134.0, 74.0), (134.0, 75.0), (134.0, 76.0), (134.0, 77.0), (134.0, 78.0), (134.0, 79.0), (134.0, 80.0), (135.0, 80.0), (136.0, 80.0), (137.0, 80.0), (138.0, 80.0), (138.0, 81.0), (138.0, 82.0), (138.0, 83.0), (138.0, 84.0), (138.0, 85.0), (138.0, 86.0), (138.0, 87.0), (138.0, 88.0), (138.0, 89.0), (138.0, 90.0), (138.0, 91.0), (138.0, 92.0), (138.0, 93.0), (138.0, 94.0), (138.0, 95.0), (138.0, 96.0), (138.0, 97.0), (138.0, 98.0), (138.0, 99.0), (138.0, 100.0), (138.0, 101.0), (138.0, 102.0), (138.0, 103.0), (138.0, 104.0), (138.0, 105.0), (138.0, 106.0), (138.0, 107.0), (138.0, 108.0), (138.0, 109.0), (138.0, 110.0), (138.0, 111.0), (138.0, 112.0), (138.0, 113.0), (138.0, 114.0), (137.0, 114.0), (136.0, 114.0), (135.0, 114.0), (135.0, 115.0), (135.0, 116.0), (135.0, 117.0), (135.0, 118.0)]"
"(135, 118)","(105, 118)","[(135.0, 118.0), (134.0, 118.0), (133.0, 118.0), (132.0, 118.0), (131.0, 118.0), (130.0, 118.0), (129.0, 118.0), (128.0, 118.0), (127.0, 118.0), (126.0, 118.0), (125.0, 118.0), (124.0, 118.0), (123.0, 118.0), (122.0, 118.0), (121.0, 118.0), (120.0, 118.0), (119.0, 118.0), (118.0, 118.0), (117.0, 118.0), (116.0, 118.0), (115.0, 118.0), (114.0, 118.0), (113.0, 118.0), (112.0, 118.0), (111.0, 118.0), (110.0, 118.0), (109.0, 118.0), (108.0, 118.0), (107.0, 118.0), (106.0, 118.0), (105.0, 118.0)]"
"(105, 118)","(135, 82)","[(105.0, 118.0), (105.0, 117.0), (105.0, 116.0), (105.0, 115.0), (105.0, 114.0), (105.0, 113.0), (105.0, 112.0), (105.0, 111.0), (105.0, 110.0), (105.0, 109.0), (105.0, 108.0), (105.0, 107.0), (105.0, 106.0), (105.0, 105.0), (105.0, 104.0), (105.0, 103.0), (105.0, 102.0), (105.0, 101.0), (105.0, 100.0), (105.0, 99.0), (105.0, 98.0), (105.0, 97.0), (105.0, 96.0), (105.0, 95.0), (105.0, 94.0), (105.0, 93.0), (105.0, 92.0), (105.0, 91.0), (105.0, 90.0), (105.0, 89.0), (105.0, 88.0), (106.0, 88.0), (107.0, 88.0), (108.0, 88.0), (109.0, 88.0), (110.0, 88.0), (111.0, 88.0), (112.0, 88.0), (113.0, 88.0), (114.0, 88.0), (115.0, 88.0), (116.0, 88.0), (117.0, 88.0), (118.0, 88.0), (119.0, 88.0), (120.0, 88.0), (121.0, 88.0), (122.0, 88.0), (123.0, 88.0), (124.0, 88.0), (125.0, 88.0), (126.0, 88.0), (127.0, 88.0), (128.0, 88.0), (129.0, 88.0), (130.0, 88.0), (131.0, 88.0), (132.0, 88.0), (133.0, 88.0), (134.0, 88.0), (135.0, 88.0), (135.0, 87.0), (135.0, 86.0), (135.0, 85.0), (135.0, 84.0), (135.0, 83.0), (135.0, 82.0)]"
"(97, 98)","(91, 82)","[(97.0, 98.0), (97.0, 97.0), (97.0, 96.0), (97.0, 95.0), (97.0, 94.0), (97.0, 93.0), (97.0, 92.0), (97.0, 91.0), (97.0, 90.0), (97.0, 89.0), (97.0, 88.0), (97.0, 87.0), (96.0, 87.0), (96.0, 86.0), (96.0, 85.0), (96.0, 84.0), (95.0, 84.0), (94.0, 84.0), (94.0, 83.0), (93.0, 83.0), (92.0, 83.0), (91.0, 83.0), (91.0, 82.0)]"
"(91, 82)","(101, 118)","[(91.0, 82.0), (91.0, 83.0), (91.0, 84.0), (91.0, 85.0), (91.0, 86.0), (91.0, 87.0), (91.0, 88.0), (91.0, 89.0), (91.0, 90.0), (91.0, 91.0), (91.0, 92.0), (91.0, 93.0), (91.0, 94.0), (91.0, 95.0), (91.0, 96.0), (91.0, 97.0), (91.0, 98.0), (91.0, 99.0), (92.0, 99.0), (92.0, 100.0), (92.0, 101.0), (92.0, 102.0), (92.0, 103.0), (92.0, 104.0), (92.0, 105.0), (92.0, 106.0), (92.0, 107.0), (92.0, 108.0), (92.0, 109.0), (92.0, 110.0), (92.0, 111.0), (92.0, 112.0), (92.0, 113.0), (92.0, 114.0), (92.0, 115.0), (92.0, 116.0), (92.0, 117.0), (92.0, 118.0), (93.0, 118.0), (94.0, 118.0), (95.0, 118.0), (96.0, 118.0), (97.0, 118.0), (98.0, 118.0), (99.0, 118.0), (100.0, 118.0), (101.0, 118.0)]"
"(101, 118)","(87, 82)","[(101.0, 118.0), (101.0, 119.0), (100.0, 119.0), (100.0, 118.0), (100.0, 117.0), (100.0, 116.0), (100.0, 115.0), (100.0, 114.0), (100.0, 113.0), (100.0, 112.0), (100.0, 111.0), (100.0, 110.0), (100.0, 109.0), (100.0, 108.0), (100.0, 107.0), (100.0, 106.0), (100.0, 105.0), (100.0, 104.0), (100.0, 103.0), (100.0, 102.0), (100.0, 101.0), (100.0, 100.0), (100.0, 99.0), (100.0, 98.0), (100.0, 97.0), (100.0, 96.0), (100.0, 95.0), (100.0, 94.0), (100.0, 93.0), (100.0, 92.0), (100.0, 91.0), (100.0, 90.0), (100.0, 89.0), (100.0, 88.0), (100.0, 87.0), (100.0, 86.0), (100.0, 85.0), (99.0, 85.0), (98.0, 85.0), (97.0, 85.0), (96.0, 85.0), (95.0, 85.0), (94.0, 85.0), (94.0, 84.0), (93.0, 84.0), (92.0, 84.0), (91.0, 84.0), (90.0, 84.0), (90.0, 83.0), (89.0, 83.0), (88.0, 83.0), (87.0, 83.0), (87.0, 82.0)]"
"(87, 82)","(101, 62)","[(87.0, 82.0), (87.0, 81.0), (87.0, 80.0), (87.0, 79.0), (87.0, 78.0), (87.0, 77.0), (87.0, 76.0), (87.0, 75.0), (87.0, 74.0), (87.0, 73.0), (87.0, 72.0), (87.0, 71.0), (87.0, 70.0), (87.0, 69.0), (87.0, 68.0), (87.0, 67.0), (87.0, 66.0), (87.0, 65.0), (87.0, 64.0), (88.0, 64.0), (89.0, 64.0), (90.0, 64.0), (91.0, 64.0), (92.0, 64.0), (93.0, 64.0), (94.0, 64.0), (95.0, 64.0), (96.0, 64.0), (97.0, 64.0), (97.0, 63.0), (97.0, 62.0), (98.0, 62.0), (99.0, 62.0), (100.0, 62.0), (101.0, 62.0)]"
"(149, 62)","(151, 86)","[(149.0, 62.0), (149.0, 63.0), (149.0, 64.0), (149.0, 65.0), (149.0, 66.0), (149.0, 67.0), (149.0, 68.0), (149.0, 69.0), (149.0, 70.0), (149.0, 71.0), (149.0, 72.0), (149.0, 73.0), (149.0, 74.0), (149.0, 75.0), (149.0, 76.0), (149.0, 77.0), (149.0, 78.0), (149.0, 79.0), (149.0, 80.0), (149.0, 81.0), (149.0, 82.0), (149.0, 83.0), (149.0, 84.0), (149.0, 85.0), (149.0, 86.0), (150.0, 86.0), (151.0, 86.0)]"
"(145, 62)","(137, 58)","[(145.0, 62.0), (145.0, 61.0), (145.0, 60.0), (145.0, 59.0), (144.0, 59.0), (143.0, 59.0), (142.0, 59.0), (141.0, 59.0), (140.0, 59.0), (139.0, 59.0), (138.0, 59.0), (137.0, 59.0), (137.0, 58.0)]"
"(77, 82)","(85, 58)","[(77.0, 82.0), (77.0, 81.0), (77.0, 80.0), (77.0, 79.0), (77.0, 78.0), (77.0, 77.0), (77.0, 76.0), (77.0, 75.0), (77.0, 74.0), (77.0, 73.0), (77.0, 72.0), (77.0, 71.0), (77.0, 70.0), (77.0, 69.0), (77.0, 68.0), (77.0, 67.0), (77.0, 66.0), (77.0, 65.0), (77.0, 64.0), (77.0, 63.0), (77.0, 62.0), (77.0, 61.0), (77.0, 60.0), (77.0, 59.0), (77.0, 58.0), (78.0, 58.0), (79.0, 58.0), (80.0, 58.0), (81.0, 58.0), (82.0, 58.0), (83.0, 58.0), (84.0, 58.0), (85.0, 58.0)]"
"(73, 82)","(97, 86)","[(73.0, 82.0), (74.0, 82.0), (75.0, 82.0), (76.0, 82.0), (77.0, 82.0), (78.0, 82.0), (79.0, 82.0), (80.0, 82.0), (81.0, 82.0), (82.0, 82.0), (83.0, 82.0), (84.0, 82.0), (85.0, 82.0), (86.0, 82.0), (87.0, 82.0), (88.0, 82.0), (89.0, 82.0), (90.0, 82.0), (91.0, 82.0), (92.0, 82.0), (93.0, 82.0), (94.0, 82.0), (95.0, 82.0), (96.0, 82.0), (97.0, 82.0), (97.0, 83.0), (97.0, 84.0), (97.0, 85.0), (97.0, 86.0)]"
"(37, 82)","(105, 86)","[(37.0, 82.0), (37.0, 81.0), (37.0, 80.0), (38.0, 80.0), (39.0, 80.0), (40.0, 80.0), (41.0, 80.0), (42.0, 80.0), (43.0, 80.0), (44.0, 80.0), (45.0, 80.0), (46.0, 80.0), (47.0, 80.0), (48.0, 80.0), (49.0, 80.0), (50.0, 80.0), (51.0, 80.0), (52.0, 80.0), (53.0, 80.0), (54.0, 80.0), (55.0, 80.0), (56.0, 80.0), (57.0, 80.0), (58.0, 80.0), (59.0, 80.0), (60.0, 80.0), (61.0, 80.0), (62.0, 80.0), (63.0, 80.0), (64.0, 80.0), (65.0, 80.0), (66.0, 80.0), (67.0, 80.0), (68.0, 80.0), (69.0, 80.0), (70.0, 80.0), (71.0, 80.0), (72.0, 80.0), (73.0, 80.0), (74.0, 80.0), (75.0, 80.0), (76.0, 80.0), (77.0, 80.0), (78.0, 80.0), (79.0, 80.0), (80.0, 80.0), (81.0, 80.0), (82.0, 80.0), (83.0, 80.0), (84.0, 80.0), (85.0, 80.0), (86.0, 80.0), (87.0, 80.0), (88.0, 80.0), (88.0, 81.0), (89.0, 81.0), (90.0, 81.0), (91.0, 81.0), (92.0, 81.0), (93.0, 81.0), (94.0, 81.0), (95.0, 81.0), (96.0, 81.0), (97.0, 81.0), (97.0, 82.0), (98.0, 82.0), (98.0, 83.0), (98.0, 84.0), (98.0, 85.0), (98.0, 86.0), (99.0, 86.0), (100.0, 86.0), (101.0, 86.0), (102.0, 86.0), (103.0, 86.0), (104.0, 86.0), (105.0, 86.0)]"
"(53, 82)","(67, 84)","[(53.0, 82.0), (53.0, 83.0), (53.0, 84.0), (54.0, 84.0), (55.0, 84.0), (56.0, 84.0), (57.0, 84.0), (58.0, 84.0), (59.0, 84.0), (60.0, 84.0), (61.0, 84.0), (62.0, 84.0), (63.0, 84.0), (64.0, 84.0), (65.0, 84.0), (66.0, 84.0), (67.0, 84.0)]"
"(147, 134)","(159, 122)","[(147.0, 134.0), (147.0, 133.0), (147.0, 132.0), (147.0, 131.0), (147.0, 130.0), (147.0, 129.0), (147.0, 128.0), (147.0, 127.0), (147.0, 126.0), (147.0, 125.0), (147.0, 124.0), (147.0, 123.0), (148.0, 123.0), (148.0, 122.0), (149.0, 122.0), (150.0, 122.0), (151.0, 122.0), (152.0, 122.0), (153.0, 122.0), (154.0, 122.0), (155.0, 122.0), (156.0, 122.0), (157.0, 122.0), (158.0, 122.0), (159.0, 122.0)]"
"(143, 134)","(135, 130)","[(143.0, 134.0), (143.0, 133.0), (143.0, 132.0), (143.0, 131.0), (142.0, 131.0), (141.0, 131.0), (140.0, 131.0), (139.0, 131.0), (138.0, 131.0), (137.0, 131.0), (136.0, 131.0), (135.0, 131.0), (135.0, 130.0)]"
"(59, 130)","(47, 96)","[(59.0, 130.0), (59.0, 129.0), (59.0, 128.0), (59.0, 127.0), (59.0, 126.0), (59.0, 125.0), (59.0, 124.0), (59.0, 123.0), (59.0, 122.0), (59.0, 121.0), (59.0, 120.0), (59.0, 119.0), (59.0, 118.0), (59.0, 117.0), (59.0, 116.0), (59.0, 115.0), (59.0, 114.0), (59.0, 113.0), (59.0, 112.0), (59.0, 111.0), (59.0, 110.0), (59.0, 109.0), (59.0, 108.0), (59.0, 107.0), (59.0, 106.0), (59.0, 105.0), (59.0, 104.0), (59.0, 103.0), (59.0, 102.0), (59.0, 101.0), (59.0, 100.0), (59.0, 99.0), (59.0, 98.0), (59.0, 97.0), (58.0, 97.0), (57.0, 97.0), (56.0, 97.0), (55.0, 97.0), (54.0, 97.0), (53.0, 97.0), (52.0, 97.0), (51.0, 97.0), (50.0, 97.0), (49.0, 97.0), (48.0, 97.0), (47.0, 97.0), (47.0, 96.0)]"
"(25, 98)","(141, 134)","[(25.0, 98.0), (25.0, 99.0), (25.0, 100.0), (25.0, 101.0), (25.0, 102.0), (25.0, 103.0), (25.0, 104.0), (25.0, 105.0), (25.0, 106.0), (25.0, 107.0), (25.0, 108.0), (25.0, 109.0), (25.0, 110.0), (25.0, 111.0), (25.0, 112.0), (25.0, 113.0), (25.0, 114.0), (25.0, 115.0), (25.0, 116.0), (25.0, 117.0), (25.0, 118.0), (25.0, 119.0), (25.0, 120.0), (25.0, 121.0), (25.0, 122.0), (25.0, 123.0), (25.0, 124.0), (25.0, 125.0), (25.0, 126.0), (25.0, 127.0), (25.0, 128.0), (25.0, 129.0), (25.0, 130.0), (25.0, 131.0), (26.0, 131.0), (27.0, 131.0), (28.0, 131.0), (29.0, 131.0), (30.0, 131.0), (31.0, 131.0), (32.0, 131.0), (33.0, 131.0), (34.0, 131.0), (35.0, 131.0), (36.0, 131.0), (37.0, 131.0), (38.0, 131.0), (39.0, 131.0), (40.0, 131.0), (41.0, 131.0), (42.0, 131.0), (43.0, 131.0), (44.0, 131.0), (45.0, 131.0), (46.0, 131.0), (47.0, 131.0), (48.0, 131.0), (49.0, 131.0), (50.0, 131.0), (50.0, 132.0), (51.0, 132.0), (52.0, 132.0), (53.0, 132.0), (54.0, 132.0), (55.0, 132.0), (56.0, 132.0), (57.0, 132.0), (58.0, 132.0), (59.0, 132.0), (60.0, 132.0), (61.0, 132.0), (62.0, 132.0), (63.0, 132.0), (64.0, 132.0), (65.0, 132.0), (66.0, 132.0), (67.0, 132.0), (68.0, 132.0), (69.0, 132.0), (70.0, 132.0), (71.0, 132.0), (72.0, 132.0), (73.0, 132.0), (74.0, 132.0), (75.0, 132.0), (76.0, 132.0), (77.0, 132.0), (78.0, 132.0), (79.0, 132.0), (80.0, 132.0), (81.0, 132.0), (82.0, 132.0), (83.0, 132.0), (84.0, 132.0), (85.0, 132.0), (86.0, 132.0), (87.0, 132.0), (88.0, 132.0), (89.0, 132.0), (90.0, 132.0), (91.0, 132.0), (92.0, 132.0), (93.0, 132.0), (94.0, 132.0), (95.0, 132.0), (96.0, 132.0), (97.0, 132.0), (98.0, 132.0), (99.0, 132.0), (100.0, 132.0), (100.0, 133.0), (101.0, 133.0), (102.0, 133.0), (103.0, 133.0), (104.0, 133.0), (105.0, 133.0), (106.0, 133.0), (107.0, 133.0), (108.0, 133.0), (109.0, 133.0), (110.0, 133.0), (111.0, 133.0), (112.0, 133.0), (113.0, 133.0), (114.0, 133.0), (115.0, 133.0), (116.0, 133.0), (117.0, 133.0), (118.0, 133.0), (119.0, 133.0), (120.0, 133.0), (121.0, 133.0), (122.0, 133.0), (123.0, 133.0), (124.0, 133.0), (125.0, 133.0), (126.0, 133.0), (127.0, 133.0), (128.0, 133.0), (128.0, 134.0), (129.0, 134.0), (130.0, 134.0), (131.0, 134.0), (132.0, 134.0), (133.0, 134.0), (134.0, 134.0), (135.0, 134.0), (136.0, 134.0), (137.0, 134.0), (138.0, 134.0), (139.0, 134.0), (140.0, 134.0), (141.0, 134.0)]"
"(141, 134)","(147, 122)","[(141.0, 134.0), (141.0, 133.0), (141.0, 132.0), (141.0, 131.0), (141.0, 130.0), (141.0, 129.0), (141.0, 128.0), (141.0, 127.0), (141.0, 126.0), (141.0, 125.0), (141.0, 124.0), (141.0, 123.0), (141.0, 122.0), (142.0, 122.0), (143.0, 122.0), (144.0, 122.0), (145.0, 122.0), (146.0, 122.0), (147.0, 122.0)]"
"(9, 98)","(11, 84)","[(9.0, 98.0), (9.0, 97.0), (9.0, 96.0), (9.0, 95.0), (9.0, 94.0), (9.0, 93.0), (9.0, 92.0), (9.0, 91.0), (9.0, 90.0), (9.0, 89.0), (9.0, 88.0), (9.0, 87.0), (9.0, 86.0), (9.0, 85.0), (9.0, 84.0), (10.0, 84.0), (11.0, 84.0)]"
"(31, 24)","(71, 82)","[(31.0, 24.0), (31.0, 25.0), (31.0, 26.0), (31.0, 27.0), (31.0, 28.0), (31.0, 29.0), (31.0, 30.0), (31.0, 31.0), (31.0, 32.0), (31.0, 33.0), (31.0, 34.0), (31.0, 35.0), (31.0, 36.0), (31.0, 37.0), (31.0, 38.0), (31.0, 39.0), (31.0, 40.0), (31.0, 41.0), (31.0, 42.0), (31.0, 43.0), (31.0, 44.0), (31.0, 45.0), (31.0, 46.0), (31.0, 47.0), (31.0, 48.0), (31.0, 49.0), (31.0, 50.0), (31.0, 51.0), (31.0, 52.0), (31.0, 53.0), (31.0, 54.0), (31.0, 55.0), (31.0, 56.0), (31.0, 57.0), (31.0, 58.0), (31.0, 59.0), (31.0, 60.0), (31.0, 61.0), (31.0, 62.0), (31.0, 63.0), (31.0, 64.0), (31.0, 65.0), (31.0, 66.0), (31.0, 67.0), (31.0, 68.0), (31.0, 69.0), (31.0, 70.0), (31.0, 71.0), (31.0, 72.0), (31.0, 73.0), (31.0, 74.0), (31.0, 75.0), (31.0, 76.0), (31.0, 77.0), (31.0, 78.0), (31.0, 79.0), (31.0, 80.0), (31.0, 81.0), (31.0, 82.0), (32.0, 82.0), (33.0, 82.0), (34.0, 82.0), (35.0, 82.0), (36.0, 82.0), (37.0, 82.0), (38.0, 82.0), (39.0, 82.0), (40.0, 82.0), (41.0, 82.0), (42.0, 82.0), (43.0, 82.0), (44.0, 82.0), (45.0, 82.0), (46.0, 82.0), (47.0, 82.0), (48.0, 82.0), (49.0, 82.0), (50.0, 82.0), (51.0, 82.0), (52.0, 82.0), (53.0, 82.0), (54.0, 82.0), (55.0, 82.0), (56.0, 82.0), (57.0, 82.0), (58.0, 82.0), (59.0, 82.0), (60.0, 82.0), (61.0, 82.0), (62.0, 82.0), (63.0, 82.0), (64.0, 82.0), (65.0, 82.0), (66.0, 82.0), (67.0, 82.0), (68.0, 82.0), (69.0, 82.0), (70.0, 82.0), (71.0, 82.0)]"
"(71, 82)","(93, 58)","[(71.0, 82.0), (71.0, 81.0), (71.0, 80.0), (71.0, 79.0), (71.0, 78.0), (71.0, 77.0), (71.0, 76.0), (71.0, 75.0), (71.0, 74.0), (71.0, 73.0), (71.0, 72.0), (71.0, 71.0), (71.0, 70.0), (71.0, 69.0), (71.0, 68.0), (71.0, 67.0), (71.0, 66.0), (71.0, 65.0), (71.0, 64.0), (71.0, 63.0), (71.0, 62.0), (71.0, 61.0), (71.0, 60.0), (71.0, 59.0), (72.0, 59.0), (73.0, 59.0), (74.0, 59.0), (75.0, 59.0), (76.0, 59.0), (77.0, 59.0), (78.0, 59.0), (79.0, 59.0), (80.0, 59.0), (81.0, 59.0), (82.0, 59.0), (83.0, 59.0), (84.0, 59.0), (85.0, 59.0), (85.0, 58.0), (86.0, 58.0), (87.0, 58.0), (88.0, 58.0), (89.0, 58.0), (90.0, 58.0), (91.0, 58.0), (92.0, 58.0), (93.0, 58.0)]"
